,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link,Arena_Corrected,Teams,Game_Latitude,Game_Longitude,Prev_Game_Lat,Prev_Game_Long,Prev_Date,Travel_Distance,Back_to_Back,Team,Winner,Opponent_WinPct
547,2023-11-08,8:00p,Detroit Pistons,118,Milwaukee Bucks,120,Fiserv Forum,/boxscores/202311080MIL.html,Fiserv Forum,Bucks,43.04526446,-87.91742912,42.34136826,-83.05529949,11/6/23,404.9425347182038,False,Detroit Pistons,Milwaukee Bucks,0.6666666666666666
2293,2023-11-08,7:00p,Utah Jazz,118,Indiana Pacers,134,Gainbridge Fieldhouse,/boxscores/202311080IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,39.76434114,-86.15563165,11/6/23,0.0,False,Indiana Pacers,Indiana Pacers,0.25
2046,2023-11-08,8:00p,Phoenix Suns,116,Chicago Bulls,115,United Center,/boxscores/202311080CHI.html,United Center,Bulls,41.88085455,-87.674251,41.88085455,-87.674251,11/6/23,0.0,False,Chicago Bulls,Phoenix Suns,0.42857142857142855
361,2023-11-08,7:00p,Boston Celtics,103,Philadelphia 76ers,106,Wells Fargo Center,/boxscores/202311080PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,44.97989588,-93.27615907,11/6/23,1585.0679160017637,False,Boston Celtics,Philadelphia 76ers,0.8333333333333334
1438,2023-11-08,8:00p,Miami Heat,108,Memphis Grizzlies,102,FedEx Forum,/boxscores/202311080MEM.html,FedExForum,Grizzlies,35.13827779,-90.05061859,25.7814792,-80.18699451,11/6/23,1404.162060284095,False,Miami Heat,Miami Heat,0.14285714285714285
2562,2023-11-08,7:00p,Washington Wizards,132,Charlotte Hornets,116,Spectrum Center,/boxscores/202311080CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,32.79084174,-96.81031908,11/5/23,1495.0878764494462,False,Charlotte Hornets,Washington Wizards,0.16666666666666666
627,2023-11-08,7:00p,Washington Wizards,132,Charlotte Hornets,116,Spectrum Center,/boxscores/202311080CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,39.9016048,-75.17200096,11/6/23,720.7194595690362,False,Washington Wizards,Washington Wizards,0.3076923076923077
2474,2023-11-08,8:00p,Detroit Pistons,118,Milwaukee Bucks,120,Fiserv Forum,/boxscores/202311080MIL.html,Fiserv Forum,Bucks,43.04526446,-87.91742912,40.68282142,-73.97543706,11/6/23,1182.535050891119,False,Milwaukee Bucks,Milwaukee Bucks,0.23529411764705882
1881,2023-11-08,7:30p,Los Angeles Clippers,93,Brooklyn Nets,100,Barclays Center,/boxscores/202311080BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,40.68282142,-73.97543706,11/6/23,0.0,False,Brooklyn Nets,Brooklyn Nets,0.46153846153846156
96,2023-11-08,8:00p,Phoenix Suns,116,Chicago Bulls,115,United Center,/boxscores/202311080CHI.html,United Center,Bulls,41.88085455,-87.674251,42.34136826,-83.05529949,11/5/23,384.3910410989716,False,Phoenix Suns,Phoenix Suns,0.35294117647058826
1343,2023-11-08,7:30p,San Antonio Spurs,105,New York Knicks,126,Madison Square Garden (IV),/boxscores/202311080NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,40.75074427,-73.99350307,11/6/23,0.0,False,New York Knicks,New York Knicks,0.42857142857142855
1253,2023-11-08,7:00p,Boston Celtics,103,Philadelphia 76ers,106,Wells Fargo Center,/boxscores/202311080PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,39.9016048,-75.17200096,11/6/23,0.0,False,Philadelphia 76ers,Philadelphia 76ers,0.7692307692307693
804,2023-11-08,8:00p,New Orleans Pelicans,101,Minnesota Timberwolves,122,Target Center,/boxscores/202311080MIN.html,Target Center,Wolves,44.97989588,-93.27615907,39.74888699,-105.007631,11/6/23,1124.0989602036636,False,New Orleans Pelicans,Minnesota Timberwolves,0.6666666666666666
2212,2023-11-08,7:00p,Utah Jazz,118,Indiana Pacers,134,Gainbridge Fieldhouse,/boxscores/202311080IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,41.88085455,-87.674251,11/6/23,267.7873210399984,False,Utah Jazz,Indiana Pacers,0.6
891,2023-11-08,10:00p,Portland Trail Blazers,118,Sacramento Kings,121,Golden 1 Center,/boxscores/202311080SAC.html,Golden 1 Center,Kings,38.58042676,-121.4996817,29.75115882,-95.36222803,11/6/23,2585.9971990288354,False,Sacramento Kings,Sacramento Kings,0.42857142857142855
1799,2023-11-08,10:00p,Golden State Warriors,105,Denver Nuggets,108,Ball Arena,/boxscores/202311080DEN.html,Ball Arena,Nuggets,39.74888699,-105.007631,42.34136826,-83.05529949,11/6/23,1858.0652896770343,False,Golden State Warriors,Denver Nuggets,0.875
279,2023-11-08,8:00p,Los Angeles Lakers,94,Houston Rockets,128,Toyota Center,/boxscores/202311080HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,29.75115882,-95.36222803,11/6/23,0.0,False,Houston Rockets,Houston Rockets,0.42857142857142855
976,2023-11-08,8:30p,Toronto Raptors,127,Dallas Mavericks,116,American Airlines Center,/boxscores/202311080DAL.html,American Airlines Center,Mavericks,32.79084174,-96.81031908,28.53944289,-81.38376767,11/6/23,1547.590772728115,False,Dallas Mavericks,Toronto Raptors,0.4666666666666667
2393,2023-11-08,7:30p,San Antonio Spurs,105,New York Knicks,126,Madison Square Garden (IV),/boxscores/202311080NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,39.76434114,-86.15563165,11/6/23,1037.0208300773309,False,San Antonio Spurs,New York Knicks,0.4666666666666667
1162,2023-11-08,8:00p,Cleveland Cavaliers,120,Oklahoma City Thunder,128,Paycom Center,/boxscores/202311080OKC.html,Paycom Center,Thunder,35.46387036,-97.51509234,35.46387036,-97.51509234,11/6/23,0.0,False,Oklahoma City Thunder,Oklahoma City Thunder,0.42857142857142855
1080,2023-11-08,10:00p,Portland Trail Blazers,118,Sacramento Kings,121,Golden 1 Center,/boxscores/202311080SAC.html,Golden 1 Center,Kings,38.58042676,-121.4996817,45.53187324,-122.6668208,11/5/23,778.9234143044382,False,Portland Trail Blazers,Sacramento Kings,0.38461538461538464
710,2023-11-08,8:00p,Cleveland Cavaliers,120,Oklahoma City Thunder,128,Paycom Center,/boxscores/202311080OKC.html,Paycom Center,Thunder,35.46387036,-97.51509234,41.4969733,-81.68818615,11/5/23,1529.1259111382117,False,Cleveland Cavaliers,Oklahoma City Thunder,0.6
181,2023-11-08,8:00p,New Orleans Pelicans,101,Minnesota Timberwolves,122,Target Center,/boxscores/202311080MIN.html,Target Center,Wolves,44.97989588,-93.27615907,44.97989588,-93.27615907,11/6/23,0.0,False,Minnesota Timberwolves,Minnesota Timberwolves,0.5333333333333333
1528,2023-11-08,10:00p,Golden State Warriors,105,Denver Nuggets,108,Ball Arena,/boxscores/202311080DEN.html,Ball Arena,Nuggets,39.74888699,-105.007631,39.74888699,-105.007631,11/6/23,0.0,False,Denver Nuggets,Denver Nuggets,0.7058823529411765
7,2023-11-08,8:00p,Los Angeles Lakers,94,Houston Rockets,128,Toyota Center,/boxscores/202311080HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,25.7814792,-80.18699451,11/6/23,1555.5535557813869,False,Los Angeles Lakers,Houston Rockets,0.5384615384615384
2129,2023-11-08,8:00p,Miami Heat,108,Memphis Grizzlies,102,FedEx Forum,/boxscores/202311080MEM.html,FedExForum,Grizzlies,35.13827779,-90.05061859,45.53187324,-122.6668208,11/5/23,2970.590558675207,False,Memphis Grizzlies,Miami Heat,0.4666666666666667
463,2023-11-09,9:30p,Atlanta Hawks,120,Orlando Magic,119,Mexico City Arena,/boxscores/202311090ORL.html,Mexico City Arena,Neutral,19.49795767,-99.17512727,35.46387036,-97.51509234,11/6/23,1782.7766229509857,False,Atlanta Hawks,Atlanta Hawks,0.5714285714285714
1709,2023-11-09,9:30p,Atlanta Hawks,120,Orlando Magic,119,Mexico City Arena,/boxscores/202311090ORL.html,Mexico City Arena,Neutral,19.49795767,-99.17512727,28.53944289,-81.38376767,11/6/23,2064.178237630304,False,Orlando Magic,Atlanta Hawks,0.6
2294,2023-11-09,7:00p,Milwaukee Bucks,124,Indiana Pacers,126,Gainbridge Fieldhouse,/boxscores/202311090IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,39.76434114,-86.15563165,11/8/23,0.0,True,Indiana Pacers,Indiana Pacers,0.7142857142857143
2475,2023-11-09,7:00p,Milwaukee Bucks,124,Indiana Pacers,126,Gainbridge Fieldhouse,/boxscores/202311090IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,43.04526446,-87.91742912,11/8/23,393.2753602664372,True,Milwaukee Bucks,Indiana Pacers,0.6470588235294118
2130,2023-11-10,8:00p,Utah Jazz,127,Memphis Grizzlies,121,FedEx Forum,/boxscores/202311100MEM.html,FedExForum,Grizzlies,35.13827779,-90.05061859,35.13827779,-90.05061859,11/8/23,0.0,False,Memphis Grizzlies,Utah Jazz,0.2222222222222222
2563,2023-11-10,7:00p,Charlotte Hornets,124,Washington Wizards,117,Capital One Arena,/boxscores/202311100WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,35.22545375,-80.83938972,11/8/23,530.5500615817883,False,Charlotte Hornets,Charlotte Hornets,0.2857142857142857
8,2023-11-10,10:00p,Los Angeles Lakers,122,Phoenix Suns,119,Footprint Center,/boxscores/202311100PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,29.75115882,-95.36222803,11/8/23,1632.8959368525248,False,Los Angeles Lakers,Los Angeles Lakers,0.5
362,2023-11-10,7:30p,Brooklyn Nets,107,Boston Celtics,121,TD Garden,/boxscores/202311100BOS.html,TD Garden,Celtics,42.37,-71.06216746,39.9016048,-75.17200096,11/8/23,440.1324726892938,False,Boston Celtics,Boston Celtics,0.5
548,2023-11-10,7:00p,Philadelphia 76ers,114,Detroit Pistons,106,Little Caesars Arena,/boxscores/202311100DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,43.04526446,-87.91742912,11/8/23,404.9425347182038,False,Detroit Pistons,Philadelphia 76ers,0.8571428571428571
182,2023-11-10,8:00p,Minnesota Timberwolves,117,San Antonio Spurs,110,Frost Bank Center,/boxscores/202311100SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,44.97989588,-93.27615907,11/8/23,1787.7640842018473,False,Minnesota Timberwolves,Minnesota Timberwolves,0.375
628,2023-11-10,7:00p,Charlotte Hornets,124,Washington Wizards,117,Capital One Arena,/boxscores/202311100WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,35.22545375,-80.83938972,11/8/23,530.5500615817883,False,Washington Wizards,Charlotte Hornets,0.3333333333333333
1882,2023-11-10,7:30p,Brooklyn Nets,107,Boston Celtics,121,TD Garden,/boxscores/202311100BOS.html,TD Garden,Celtics,42.37,-71.06216746,40.68282142,-73.97543706,11/8/23,306.5798868077769,False,Brooklyn Nets,Boston Celtics,0.7333333333333333
805,2023-11-10,8:00p,New Orleans Pelicans,101,Houston Rockets,104,Toyota Center,/boxscores/202311100HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,44.97989588,-93.27615907,11/8/23,1703.2017429238108,False,New Orleans Pelicans,Houston Rockets,0.5714285714285714
892,2023-11-10,10:00p,Oklahoma City Thunder,98,Sacramento Kings,105,Golden 1 Center,/boxscores/202311100SAC.html,Golden 1 Center,Kings,38.58042676,-121.4996817,38.58042676,-121.4996817,11/8/23,0.0,False,Sacramento Kings,Sacramento Kings,0.625
1621,2023-11-10,8:30p,Los Angeles Clippers,126,Dallas Mavericks,144,American Airlines Center,/boxscores/202311100DAL.html,American Airlines Center,Mavericks,32.79084174,-96.81031908,40.68282142,-73.97543706,11/8/23,2207.561968042356,False,Los Angeles Clippers,Dallas Mavericks,0.75
280,2023-11-10,8:00p,New Orleans Pelicans,101,Houston Rockets,104,Toyota Center,/boxscores/202311100HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,29.75115882,-95.36222803,11/8/23,0.0,False,Houston Rockets,Houston Rockets,0.47058823529411764
1254,2023-11-10,7:00p,Philadelphia 76ers,114,Detroit Pistons,106,Little Caesars Arena,/boxscores/202311100DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,39.9016048,-75.17200096,11/8/23,713.5394223125048,False,Philadelphia 76ers,Philadelphia 76ers,0.21052631578947367
977,2023-11-10,8:30p,Los Angeles Clippers,126,Dallas Mavericks,144,American Airlines Center,/boxscores/202311100DAL.html,American Airlines Center,Mavericks,32.79084174,-96.81031908,32.79084174,-96.81031908,11/8/23,0.0,False,Dallas Mavericks,Dallas Mavericks,0.4
2213,2023-11-10,8:00p,Utah Jazz,127,Memphis Grizzlies,121,FedEx Forum,/boxscores/202311100MEM.html,FedExForum,Grizzlies,35.13827779,-90.05061859,39.76434114,-86.15563165,11/8/23,618.567009333313,False,Utah Jazz,Utah Jazz,0.11764705882352941
1163,2023-11-10,10:00p,Oklahoma City Thunder,98,Sacramento Kings,105,Golden 1 Center,/boxscores/202311100SAC.html,Golden 1 Center,Kings,38.58042676,-121.4996817,35.46387036,-97.51509234,11/8/23,2151.0023692865034,False,Oklahoma City Thunder,Sacramento Kings,0.4666666666666667
97,2023-11-10,10:00p,Los Angeles Lakers,122,Phoenix Suns,119,Footprint Center,/boxscores/202311100PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,41.88085455,-87.674251,11/8/23,2332.8011995425454,False,Phoenix Suns,Los Angeles Lakers,0.4117647058823529
2394,2023-11-10,8:00p,Minnesota Timberwolves,117,San Antonio Spurs,110,Frost Bank Center,/boxscores/202311100SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,40.75074427,-73.99350307,11/8/23,2542.966855851485,False,San Antonio Spurs,Minnesota Timberwolves,0.7333333333333333
363,2023-11-11,7:00p,Toronto Raptors,94,Boston Celtics,117,TD Garden,/boxscores/202311110BOS.html,TD Garden,Celtics,42.37,-71.06216746,42.36641599,-71.06216746,11/10/23,0.3985237290433264,True,Boston Celtics,Boston Celtics,0.5
464,2023-11-11,7:30p,Miami Heat,117,Atlanta Hawks,109,State Farm Arena,/boxscores/202311110ATL.html,State Farm Arena,Hawks,33.75786112,-84.39606134,19.49795767,-99.17512727,11/9/23,2156.457375418227,False,Atlanta Hawks,Miami Heat,0.5
1439,2023-11-11,7:30p,Miami Heat,117,Atlanta Hawks,109,State Farm Arena,/boxscores/202311110ATL.html,State Farm Arena,Hawks,33.75786112,-84.39606134,35.13827779,-90.05061859,11/8/23,540.6480923761459,False,Miami Heat,Miami Heat,0.5882352941176471
1710,2023-11-11,6:00p,Milwaukee Bucks,97,Orlando Magic,112,Kia Center,/boxscores/202311110ORL.html,Kia Center,Magic,28.53944289,-81.38376767,19.49795767,-99.17512727,11/9/23,2064.178237630304,False,Orlando Magic,Orlando Magic,0.625
1964,2023-11-11,7:00p,Toronto Raptors,94,Boston Celtics,117,TD Garden,/boxscores/202311110BOS.html,TD Garden,Celtics,42.37,-71.06216746,32.79084174,-96.81031908,11/8/23,2493.3595761493866,False,Toronto Raptors,Boston Celtics,0.7647058823529411
1800,2023-11-11,8:30p,Cleveland Cavaliers,118,Golden State Warriors,110,Chase Center,/boxscores/202311110GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,39.74888699,-105.007631,11/8/23,1520.5675831676276,False,Golden State Warriors,Cleveland Cavaliers,0.375
2476,2023-11-11,6:00p,Milwaukee Bucks,97,Orlando Magic,112,Kia Center,/boxscores/202311110ORL.html,Kia Center,Magic,28.53944289,-81.38376767,39.76434114,-86.15563165,11/9/23,1322.5692910873008,False,Milwaukee Bucks,Orlando Magic,0.5294117647058824
711,2023-11-11,8:30p,Cleveland Cavaliers,118,Golden State Warriors,110,Chase Center,/boxscores/202311110GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,35.46387036,-97.51509234,11/8/23,2228.034594075889,False,Cleveland Cavaliers,Cleveland Cavaliers,0.631578947368421
98,2023-11-12,8:00p,Oklahoma City Thunder,111,Phoenix Suns,99,Footprint Center,/boxscores/202311120PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,33.44599214,-112.0712861,11/10/23,0.0,False,Phoenix Suns,Oklahoma City Thunder,0.5555555555555556
1255,2023-11-12,6:00p,Indiana Pacers,126,Philadelphia 76ers,137,Wells Fargo Center,/boxscores/202311120PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,42.34136826,-83.05529949,11/10/23,713.5394223125048,False,Philadelphia 76ers,Philadelphia 76ers,0.6666666666666666
806,2023-11-12,7:00p,Dallas Mavericks,136,New Orleans Pelicans,124,Smoothie King Center,/boxscores/202311120NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,29.75115882,-95.36222803,11/10/23,509.6632030656073,False,New Orleans Pelicans,Dallas Mavericks,0.7777777777777778
1164,2023-11-12,8:00p,Oklahoma City Thunder,111,Phoenix Suns,99,Footprint Center,/boxscores/202311120PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,38.58042676,-121.4996817,11/10/23,1021.4154026138948,False,Oklahoma City Thunder,Oklahoma City Thunder,0.42105263157894735
978,2023-11-12,7:00p,Dallas Mavericks,136,New Orleans Pelicans,124,Smoothie King Center,/boxscores/202311120NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,32.79084174,-96.81031908,11/10/23,712.4341287480793,False,Dallas Mavericks,Dallas Mavericks,0.42105263157894735
2047,2023-11-12,7:00p,Detroit Pistons,108,Chicago Bulls,119,United Center,/boxscores/202311120CHI.html,United Center,Bulls,41.88085455,-87.674251,41.88085455,-87.674251,11/8/23,0.0,False,Chicago Bulls,Chicago Bulls,0.2
2395,2023-11-12,7:00p,Miami Heat,118,San Antonio Spurs,113,Frost Bank Center,/boxscores/202311120SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,29.42731446,-98.4374652,11/10/23,0.0,False,San Antonio Spurs,Miami Heat,0.5555555555555556
2564,2023-11-12,12:00p,Charlotte Hornets,107,New York Knicks,129,Madison Square Garden (IV),/boxscores/202311120NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,38.89838877,-77.02081388,11/10/23,330.5106390806268,False,Charlotte Hornets,New York Knicks,0.5
2295,2023-11-12,6:00p,Indiana Pacers,126,Philadelphia 76ers,137,Wells Fargo Center,/boxscores/202311120PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,39.76434114,-86.15563165,11/9/23,937.4062242700644,False,Indiana Pacers,Philadelphia 76ers,0.8823529411764706
549,2023-11-12,7:00p,Detroit Pistons,108,Chicago Bulls,119,United Center,/boxscores/202311120CHI.html,United Center,Bulls,41.88085455,-87.674251,42.34136826,-83.05529949,11/10/23,384.3910410989716,False,Detroit Pistons,Chicago Bulls,0.3684210526315789
1440,2023-11-12,7:00p,Miami Heat,118,San Antonio Spurs,113,Frost Bank Center,/boxscores/202311120SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,33.75786112,-84.39606134,11/11/23,1412.9277103462202,True,Miami Heat,Miami Heat,0.3157894736842105
183,2023-11-12,8:30p,Minnesota Timberwolves,116,Golden State Warriors,110,Chase Center,/boxscores/202311120GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,29.42731446,-98.4374652,11/10/23,2395.5180837610874,False,Minnesota Timberwolves,Minnesota Timberwolves,0.6
1801,2023-11-12,8:30p,Minnesota Timberwolves,116,Golden State Warriors,110,Chase Center,/boxscores/202311120GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,37.76824305,-122.3879952,11/11/23,0.0,True,Golden State Warriors,Minnesota Timberwolves,0.7647058823529411
1081,2023-11-12,10:00p,Portland Trail Blazers,110,Los Angeles Lakers,116,Crypto.com Arena,/boxscores/202311120LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,38.58042676,-121.4996817,11/8/23,581.6264657800731,False,Portland Trail Blazers,Los Angeles Lakers,0.4444444444444444
629,2023-11-12,3:00p,Washington Wizards,94,Brooklyn Nets,102,Barclays Center,/boxscores/202311120BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,38.89838877,-77.02081388,11/10/23,327.18641584040074,False,Washington Wizards,Brooklyn Nets,0.4444444444444444
1883,2023-11-12,3:00p,Washington Wizards,94,Brooklyn Nets,102,Barclays Center,/boxscores/202311120BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,42.36641599,-71.06216746,11/10/23,306.3415971797147,False,Brooklyn Nets,Brooklyn Nets,0.23529411764705882
1344,2023-11-12,12:00p,Charlotte Hornets,107,New York Knicks,129,Madison Square Garden (IV),/boxscores/202311120NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,40.75074427,-73.99350307,11/8/23,0.0,False,New York Knicks,New York Knicks,0.35294117647058826
