Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link
"Wed, Nov 22, 2023",7:00p,Washington Wizards,114,Charlotte Hornets,117,Spectrum Center,/boxscores/202311220CHO.html
"Wed, Nov 22, 2023",7:00p,Denver Nuggets,119,Orlando Magic,124,Kia Center,/boxscores/202311220ORL.html
"Wed, Nov 22, 2023",7:30p,Brooklyn Nets,145,Atlanta Hawks,147,State Farm Arena,/boxscores/202311220ATL.html
"Wed, Nov 22, 2023",7:30p,Milwaukee Bucks,116,Boston Celtics,119,TD Garden,/boxscores/202311220BOS.html
"Wed, Nov 22, 2023",7:30p,Miami Heat,129,Cleveland Cavaliers,96,Rocket Mortgage Fieldhouse,/boxscores/202311220CLE.html
"Wed, Nov 22, 2023",7:30p,Toronto Raptors,132,Indiana Pacers,131,Gainbridge Fieldhouse,/boxscores/202311220IND.html
"Wed, Nov 22, 2023",8:00p,Memphis Grizzlies,91,Houston Rockets,111,Toyota Center,/boxscores/202311220HOU.html
"Wed, Nov 22, 2023",8:00p,Philadelphia 76ers,99,Minnesota Timberwolves,112,Target Center,/boxscores/202311220MIN.html
"Wed, Nov 22, 2023",8:00p,Sacramento Kings,112,New Orleans Pelicans,117,Smoothie King Center,/boxscores/202311220NOP.html
"Wed, Nov 22, 2023",8:00p,Chicago Bulls,102,Oklahoma City Thunder,116,Paycom Center,/boxscores/202311220OKC.html
"Wed, Nov 22, 2023",8:00p,Los Angeles Clippers,109,San Antonio Spurs,102,Frost Bank Center,/boxscores/202311220SAS.html
"Wed, Nov 22, 2023",10:00p,Golden State Warriors,115,Phoenix Suns,123,Footprint Center,/boxscores/202311220PHO.html
"Wed, Nov 22, 2023",10:00p,Utah Jazz,105,Portland Trail Blazers,121,Moda Center,/boxscores/202311220POR.html
"Wed, Nov 22, 2023",10:30p,Dallas Mavericks,104,Los Angeles Lakers,101,Crypto.com Arena,/boxscores/202311220LAL.html
"Fri, Nov 24, 2023",2:30p,Boston Celtics,96,Orlando Magic,113,Kia Center,/boxscores/202311240ORL.html
"Fri, Nov 24, 2023",5:00p,Phoenix Suns,110,Memphis Grizzlies,89,FedEx Forum,/boxscores/202311240MEM.html
"Fri, Nov 24, 2023",7:30p,Miami Heat,98,New York Knicks,100,Madison Square Garden (IV),/boxscores/202311240NYK.html
"Fri, Nov 24, 2023",7:30p,Chicago Bulls,108,Toronto Raptors,121,Scotiabank Arena,/boxscores/202311240TOR.html
"Fri, Nov 24, 2023",8:00p,Denver Nuggets,86,Houston Rockets,105,Toyota Center,/boxscores/202311240HOU.html
"Fri, Nov 24, 2023",8:00p,Detroit Pistons,113,Indiana Pacers,136,Gainbridge Fieldhouse,/boxscores/202311240IND.html
"Fri, Nov 24, 2023",8:00p,Washington Wizards,128,Milwaukee Bucks,131,Fiserv Forum,/boxscores/202311240MIL.html
"Fri, Nov 24, 2023",8:00p,Sacramento Kings,124,Minnesota Timberwolves,111,Target Center,/boxscores/202311240MIN.html
"Fri, Nov 24, 2023",10:00p,San Antonio Spurs,112,Golden State Warriors,118,Chase Center,/boxscores/202311240GSW.html
"Fri, Nov 24, 2023",10:30p,New Orleans Pelicans,116,Los Angeles Clippers,106,Crypto.com Arena,/boxscores/202311240LAC.html
"Sat, Nov 25, 2023",5:00p,Philadelphia 76ers,127,Oklahoma City Thunder,123,Paycom Center,/boxscores/202311250OKC.html
"Sat, Nov 25, 2023",6:00p,Miami Heat,97,Brooklyn Nets,112,Barclays Center,/boxscores/202311250BRK.html
"Sat, Nov 25, 2023",7:00p,Atlanta Hawks,136,Washington Wizards,108,Capital One Arena,/boxscores/202311250WAS.html
"Sat, Nov 25, 2023",7:30p,Los Angeles Lakers,121,Cleveland Cavaliers,115,Rocket Mortgage Fieldhouse,/boxscores/202311250CLE.html
"Sat, Nov 25, 2023",9:30p,New Orleans Pelicans,100,Utah Jazz,105,Delta Center,/boxscores/202311250UTA.html
"Sat, Nov 25, 2023",10:30p,Dallas Mavericks,88,Los Angeles Clippers,107,Crypto.com Arena,/boxscores/202311250LAC.html
"Sun, Nov 26, 2023",3:30p,Portland Trail Blazers,102,Milwaukee Bucks,108,Fiserv Forum,/boxscores/202311260MIL.html
"Sun, Nov 26, 2023",6:00p,Atlanta Hawks,103,Boston Celtics,113,TD Garden,/boxscores/202311260BOS.html
"Sun, Nov 26, 2023",6:00p,Minnesota Timberwolves,119,Memphis Grizzlies,97,FedEx Forum,/boxscores/202311260MEM.html
"Sun, Nov 26, 2023",6:00p,Phoenix Suns,116,New York Knicks,113,Madison Square Garden (IV),/boxscores/202311260NYK.html
"Sun, Nov 26, 2023",6:00p,Charlotte Hornets,117,Orlando Magic,130,Kia Center,/boxscores/202311260ORL.html
"Sun, Nov 26, 2023",7:30p,Chicago Bulls,109,Brooklyn Nets,118,Barclays Center,/boxscores/202311260BRK.html
"Sun, Nov 26, 2023",7:30p,Toronto Raptors,102,Cleveland Cavaliers,105,Rocket Mortgage Fieldhouse,/boxscores/202311260CLE.html
"Sun, Nov 26, 2023",8:00p,San Antonio Spurs,120,Denver Nuggets,132,Ball Arena,/boxscores/202311260DEN.html
"Mon, Nov 27, 2023",7:00p,Washington Wizards,126,Detroit Pistons,107,Little Caesars Arena,/boxscores/202311270DET.html
"Mon, Nov 27, 2023",7:00p,Portland Trail Blazers,114,Indiana Pacers,110,Gainbridge Fieldhouse,/boxscores/202311270IND.html
"Mon, Nov 27, 2023",7:00p,Los Angeles Lakers,94,Philadelphia 76ers,138,Wells Fargo Center,/boxscores/202311270PHI.html
"Mon, Nov 27, 2023",9:00p,New Orleans Pelicans,112,Utah Jazz,114,Delta Center,/boxscores/202311270UTA.html
"Mon, Nov 27, 2023",10:30p,Denver Nuggets,113,Los Angeles Clippers,104,Crypto.com Arena,/boxscores/202311270LAC.html
"Tue, Nov 28, 2023",7:30p,Chicago Bulls,97,Boston Celtics,124,TD Garden,/boxscores/202311280BOS.html
"Tue, Nov 28, 2023",7:30p,Toronto Raptors,103,Brooklyn Nets,115,Barclays Center,/boxscores/202311280BRK.html
"Tue, Nov 28, 2023",7:30p,Atlanta Hawks,105,Cleveland Cavaliers,128,Rocket Mortgage Fieldhouse,/boxscores/202311280CLE.html
"Tue, Nov 28, 2023",7:30p,Milwaukee Bucks,131,Miami Heat,124,Kaseya Center,/boxscores/202311280MIA.html
"Tue, Nov 28, 2023",7:30p,Charlotte Hornets,91,New York Knicks,115,Madison Square Garden (IV),/boxscores/202311280NYK.html
"Tue, Nov 28, 2023",8:00p,Oklahoma City Thunder,103,Minnesota Timberwolves,106,Target Center,/boxscores/202311280MIN.html
"Tue, Nov 28, 2023",8:30p,Houston Rockets,115,Dallas Mavericks,121,American Airlines Center,/boxscores/202311280DAL.html
"Tue, Nov 28, 2023",10:00p,Golden State Warriors,123,Sacramento Kings,124,Golden 1 Center,/boxscores/202311280SAC.html
"Wed, Nov 29, 2023",7:00p,Los Angeles Lakers,133,Detroit Pistons,107,Little Caesars Arena,/boxscores/202311290DET.html
"Wed, Nov 29, 2023",7:00p,Washington Wizards,120,Orlando Magic,139,Kia Center,/boxscores/202311290ORL.html
"Wed, Nov 29, 2023",7:30p,Phoenix Suns,105,Toronto Raptors,112,Scotiabank Arena,/boxscores/202311290TOR.html
"Wed, Nov 29, 2023",8:00p,Utah Jazz,91,Memphis Grizzlies,105,FedEx Forum,/boxscores/202311290MEM.html
"Wed, Nov 29, 2023",8:00p,Philadelphia 76ers,114,New Orleans Pelicans,124,Smoothie King Center,/boxscores/202311290NOP.html
"Wed, Nov 29, 2023",9:00p,Houston Rockets,124,Denver Nuggets,134,Ball Arena,/boxscores/202311290DEN.html
"Wed, Nov 29, 2023",10:00p,Los Angeles Clippers,131,Sacramento Kings,117,Golden 1 Center,/boxscores/202311290SAC.html
"Thu, Nov 30, 2023",7:00p,Portland Trail Blazers,103,Cleveland Cavaliers,95,Rocket Mortgage Fieldhouse,/boxscores/202311300CLE.html
"Thu, Nov 30, 2023",7:30p,Charlotte Hornets,129,Brooklyn Nets,128,Barclays Center,/boxscores/202311300BRK.html
"Thu, Nov 30, 2023",7:30p,Indiana Pacers,132,Miami Heat,142,Kaseya Center,/boxscores/202311300MIA.html
"Thu, Nov 30, 2023",7:30p,Detroit Pistons,112,New York Knicks,118,Madison Square Garden (IV),/boxscores/202311300NYK.html
"Thu, Nov 30, 2023",8:00p,Milwaukee Bucks,113,Chicago Bulls,120,United Center,/boxscores/202311300CHI.html
"Thu, Nov 30, 2023",8:00p,Utah Jazz,90,Minnesota Timberwolves,101,Target Center,/boxscores/202311300MIN.html
"Thu, Nov 30, 2023",8:00p,Los Angeles Lakers,110,Oklahoma City Thunder,133,Paycom Center,/boxscores/202311300OKC.html
"Thu, Nov 30, 2023",8:00p,Atlanta Hawks,137,San Antonio Spurs,135,Frost Bank Center,/boxscores/202311300SAS.html
"Thu, Nov 30, 2023",10:00p,Los Angeles Clippers,114,Golden State Warriors,120,Chase Center,/boxscores/202311300GSW.html
"Fri, Dec 1, 2023",7:00p,Washington Wizards,125,Orlando Magic,130,Kia Center,/boxscores/202312010ORL.html
"Fri, Dec 1, 2023",7:30p,Philadelphia 76ers,119,Boston Celtics,125,TD Garden,/boxscores/202312010BOS.html
"Fri, Dec 1, 2023",7:30p,Memphis Grizzlies,108,Dallas Mavericks,94,American Airlines Center,/boxscores/202312010DAL.html
"Fri, Dec 1, 2023",7:30p,New York Knicks,119,Toronto Raptors,106,Scotiabank Arena,/boxscores/202312010TOR.html
"Fri, Dec 1, 2023",8:00p,San Antonio Spurs,106,New Orleans Pelicans,121,Smoothie King Center,/boxscores/202312010NOP.html
"Fri, Dec 1, 2023",10:00p,Denver Nuggets,119,Phoenix Suns,111,Footprint Center,/boxscores/202312010PHO.html
"Sat, Dec 2, 2023",4:00p,Golden State Warriors,112,Los Angeles Clippers,113,Crypto.com Arena,/boxscores/202312020LAC.html
"Sat, Dec 2, 2023",5:00p,Minnesota Timberwolves,123,Charlotte Hornets,117,Spectrum Center,/boxscores/202312020CHO.html
"Sat, Dec 2, 2023",7:00p,Orlando Magic,101,Brooklyn Nets,129,Barclays Center,/boxscores/202312020BRK.html
"Sat, Dec 2, 2023",7:00p,Cleveland Cavaliers,110,Detroit Pistons,101,Little Caesars Arena,/boxscores/202312020DET.html
"Sat, Dec 2, 2023",8:00p,New Orleans Pelicans,118,Chicago Bulls,124,United Center,/boxscores/202312020CHI.html
"Sat, Dec 2, 2023",8:00p,Indiana Pacers,144,Miami Heat,129,Kaseya Center,/boxscores/202312020MIA.html
"Sat, Dec 2, 2023",8:00p,Atlanta Hawks,121,Milwaukee Bucks,132,Fiserv Forum,/boxscores/202312020MIL.html
"Sat, Dec 2, 2023",9:00p,Oklahoma City Thunder,126,Dallas Mavericks,120,American Airlines Center,/boxscores/202312020DAL.html
"Sat, Dec 2, 2023",9:00p,Memphis Grizzlies,109,Phoenix Suns,116,Footprint Center,/boxscores/202312020PHO.html
"Sat, Dec 2, 2023",9:30p,Portland Trail Blazers,113,Utah Jazz,118,Delta Center,/boxscores/202312020UTA.html
"Sat, Dec 2, 2023",10:00p,Denver Nuggets,117,Sacramento Kings,123,Golden 1 Center,/boxscores/202312020SAC.html
"Sat, Dec 2, 2023",10:30p,Houston Rockets,97,Los Angeles Lakers,107,Crypto.com Arena,/boxscores/202312020LAL.html
"Mon, Dec 4, 2023",7:30p,Boston Celtics,112,Indiana Pacers,122,Gainbridge Fieldhouse,/boxscores/202312040IND.html
"Mon, Dec 4, 2023",10:00p,New Orleans Pelicans,127,Sacramento Kings,117,Golden 1 Center,/boxscores/202312040SAC.html
"Tue, Dec 5, 2023",7:30p,New York Knicks,122,Milwaukee Bucks,146,Fiserv Forum,/boxscores/202312050MIL.html
"Tue, Dec 5, 2023",10:00p,Phoenix Suns,103,Los Angeles Lakers,106,Crypto.com Arena,/boxscores/202312050LAL.html
"Wed, Dec 6, 2023",7:00p,Orlando Magic,111,Cleveland Cavaliers,121,Rocket Mortgage Fieldhouse,/boxscores/202312060CLE.html
"Wed, Dec 6, 2023",7:00p,Memphis Grizzlies,116,Detroit Pistons,102,Little Caesars Arena,/boxscores/202312060DET.html
"Wed, Dec 6, 2023",7:00p,Philadelphia 76ers,131,Washington Wizards,126,Capital One Arena,/boxscores/202312060WAS.html
"Wed, Dec 6, 2023",7:30p,Brooklyn Nets,114,Atlanta Hawks,113,State Farm Arena,/boxscores/202312060ATL.html
"Wed, Dec 6, 2023",7:30p,San Antonio Spurs,94,Minnesota Timberwolves,102,Target Center,/boxscores/202312060MIN.html
"Wed, Dec 6, 2023",7:30p,Miami Heat,112,Toronto Raptors,103,Scotiabank Arena,/boxscores/202312060TOR.html
"Wed, Dec 6, 2023",8:00p,Charlotte Hornets,100,Chicago Bulls,111,United Center,/boxscores/202312060CHI.html
"Wed, Dec 6, 2023",8:00p,Oklahoma City Thunder,101,Houston Rockets,110,Toyota Center,/boxscores/202312060HOU.html
"Wed, Dec 6, 2023",8:30p,Utah Jazz,97,Dallas Mavericks,147,American Airlines Center,/boxscores/202312060DAL.html
"Wed, Dec 6, 2023",10:00p,Portland Trail Blazers,106,Golden State Warriors,110,Chase Center,/boxscores/202312060GSW.html
"Wed, Dec 6, 2023",10:00p,Denver Nuggets,102,Los Angeles Clippers,111,Crypto.com Arena,/boxscores/202312060LAC.html
"Thu, Dec 7, 2023",5:00p,Indiana Pacers,128,Milwaukee Bucks,119,T-Mobile Arena,/boxscores/202312070MIL.html
"Thu, Dec 7, 2023",9:00p,New Orleans Pelicans,89,Los Angeles Lakers,133,T-Mobile Arena,/boxscores/202312070LAL.html
"Fri, Dec 8, 2023",7:00p,Toronto Raptors,116,Charlotte Hornets,119,Spectrum Center,/boxscores/202312080CHO.html
"Fri, Dec 8, 2023",7:00p,Detroit Pistons,91,Orlando Magic,123,Kia Center,/boxscores/202312080ORL.html
"Fri, Dec 8, 2023",7:00p,Atlanta Hawks,114,Philadelphia 76ers,125,Wells Fargo Center,/boxscores/202312080PHI.html
"Fri, Dec 8, 2023",7:30p,New York Knicks,123,Boston Celtics,133,TD Garden,/boxscores/202312080BOS.html
"Fri, Dec 8, 2023",7:30p,Washington Wizards,97,Brooklyn Nets,124,Barclays Center,/boxscores/202312080BRK.html
"Fri, Dec 8, 2023",8:00p,Minnesota Timberwolves,127,Memphis Grizzlies,103,FedEx Forum,/boxscores/202312080MEM.html
"Fri, Dec 8, 2023",8:00p,Cleveland Cavaliers,111,Miami Heat,99,Kaseya Center,/boxscores/202312080MIA.html
"Fri, Dec 8, 2023",8:00p,Golden State Warriors,136,Oklahoma City Thunder,138,Paycom Center,/boxscores/202312080OKC.html
"Fri, Dec 8, 2023",8:30p,Chicago Bulls,121,San Antonio Spurs,112,Frost Bank Center,/boxscores/202312080SAS.html
"Fri, Dec 8, 2023",9:00p,Houston Rockets,114,Denver Nuggets,106,Ball Arena,/boxscores/202312080DEN.html
"Fri, Dec 8, 2023",9:00p,Sacramento Kings,114,Phoenix Suns,106,Footprint Center,/boxscores/202312080PHO.html
"Fri, Dec 8, 2023",10:00p,Dallas Mavericks,125,Portland Trail Blazers,112,Moda Center,/boxscores/202312080POR.html
"Fri, Dec 8, 2023",10:00p,Los Angeles Clippers,117,Utah Jazz,103,Delta Center,/boxscores/202312080UTA.html
"Sat, Dec 9, 2023",8:30p,Indiana Pacers,109,Los Angeles Lakers,123,T-Mobile Arena,/boxscores/202312090LAL.html
"Mon, Dec 11, 2023",7:00p,Miami Heat,116,Charlotte Hornets,114,Spectrum Center,/boxscores/202312110CHO.html
"Mon, Dec 11, 2023",7:00p,Indiana Pacers,131,Detroit Pistons,123,Little Caesars Arena,/boxscores/202312110DET.html
"Mon, Dec 11, 2023",7:00p,Cleveland Cavaliers,94,Orlando Magic,104,Kia Center,/boxscores/202312110ORL.html
"Mon, Dec 11, 2023",7:00p,Washington Wizards,101,Philadelphia 76ers,146,Wells Fargo Center,/boxscores/202312110PHI.html
"Mon, Dec 11, 2023",7:30p,Denver Nuggets,129,Atlanta Hawks,122,State Farm Arena,/boxscores/202312110ATL.html
"Mon, Dec 11, 2023",7:30p,Toronto Raptors,130,New York Knicks,136,Madison Square Garden (IV),/boxscores/202312110NYK.html
"Mon, Dec 11, 2023",8:00p,San Antonio Spurs,82,Houston Rockets,93,Toyota Center,/boxscores/202312110HOU.html
"Mon, Dec 11, 2023",8:00p,Dallas Mavericks,120,Memphis Grizzlies,113,FedEx Forum,/boxscores/202312110MEM.html
"Mon, Dec 11, 2023",8:00p,Chicago Bulls,129,Milwaukee Bucks,133,Fiserv Forum,/boxscores/202312110MIL.html
"Mon, Dec 11, 2023",8:00p,Minnesota Timberwolves,107,New Orleans Pelicans,121,Smoothie King Center,/boxscores/202312110NOP.html
"Mon, Dec 11, 2023",8:00p,Utah Jazz,120,Oklahoma City Thunder,134,Paycom Center,/boxscores/202312110OKC.html
"Mon, Dec 11, 2023",10:00p,Brooklyn Nets,118,Sacramento Kings,131,Golden 1 Center,/boxscores/202312110SAC.html
"Mon, Dec 11, 2023",10:30p,Portland Trail Blazers,127,Los Angeles Clippers,132,Crypto.com Arena,/boxscores/202312110LAC.html
"Tue, Dec 12, 2023",7:30p,Cleveland Cavaliers,113,Boston Celtics,120,TD Garden,/boxscores/202312120BOS.html
"Tue, Dec 12, 2023",7:30p,Los Angeles Lakers,125,Dallas Mavericks,127,American Airlines Center,/boxscores/202312120DAL.html
"Tue, Dec 12, 2023",8:00p,Denver Nuggets,114,Chicago Bulls,106,United Center,/boxscores/202312120CHI.html
"Tue, Dec 12, 2023",10:00p,Golden State Warriors,116,Phoenix Suns,119,Footprint Center,/boxscores/202312120PHO.html
"Tue, Dec 12, 2023",10:30p,Sacramento Kings,99,Los Angeles Clippers,119,Crypto.com Arena,/boxscores/202312120LAC.html
"Wed, Dec 13, 2023",7:00p,Philadelphia 76ers,129,Detroit Pistons,111,Little Caesars Arena,/boxscores/202312130DET.html
"Wed, Dec 13, 2023",7:00p,New Orleans Pelicans,142,Washington Wizards,122,Capital One Arena,/boxscores/202312130WAS.html
"Wed, Dec 13, 2023",7:30p,Charlotte Hornets,104,Miami Heat,115,Kaseya Center,/boxscores/202312130MIA.html
"Wed, Dec 13, 2023",7:30p,Atlanta Hawks,128,Toronto Raptors,135,Scotiabank Arena,/boxscores/202312130TOR.html
"Wed, Dec 13, 2023",8:00p,Memphis Grizzlies,104,Houston Rockets,117,Toyota Center,/boxscores/202312130HOU.html
"Wed, Dec 13, 2023",8:00p,Indiana Pacers,126,Milwaukee Bucks,140,Fiserv Forum,/boxscores/202312130MIL.html
"Wed, Dec 13, 2023",8:00p,Los Angeles Lakers,122,San Antonio Spurs,119,Frost Bank Center,/boxscores/202312130SAS.html
"Wed, Dec 13, 2023",9:00p,Brooklyn Nets,116,Phoenix Suns,112,Footprint Center,/boxscores/202312130PHO.html
"Wed, Dec 13, 2023",9:00p,New York Knicks,113,Utah Jazz,117,Delta Center,/boxscores/202312130UTA.html
"Thu, Dec 14, 2023",7:30p,Cleveland Cavaliers,107,Boston Celtics,116,TD Garden,/boxscores/202312140BOS.html
"Thu, Dec 14, 2023",7:30p,Chicago Bulls,124,Miami Heat,116,Kaseya Center,/boxscores/202312140MIA.html
"Thu, Dec 14, 2023",8:30p,Minnesota Timberwolves,119,Dallas Mavericks,101,American Airlines Center,/boxscores/202312140DAL.html
"Thu, Dec 14, 2023",9:00p,Brooklyn Nets,101,Denver Nuggets,124,Ball Arena,/boxscores/202312140DEN.html
"Thu, Dec 14, 2023",10:00p,Utah Jazz,122,Portland Trail Blazers,114,Moda Center,/boxscores/202312140POR.html
"Thu, Dec 14, 2023",10:00p,Oklahoma City Thunder,123,Sacramento Kings,128,Golden 1 Center,/boxscores/202312140SAC.html
"Thu, Dec 14, 2023",10:30p,Golden State Warriors,113,Los Angeles Clippers,121,Crypto.com Arena,/boxscores/202312140LAC.html
"Fri, Dec 15, 2023",7:00p,New Orleans Pelicans,112,Charlotte Hornets,107,Spectrum Center,/boxscores/202312150CHO.html
"Fri, Dec 15, 2023",7:00p,Detroit Pistons,92,Philadelphia 76ers,124,Wells Fargo Center,/boxscores/202312150PHI.html
"Fri, Dec 15, 2023",7:00p,Indiana Pacers,123,Washington Wizards,137,Capital One Arena,/boxscores/202312150WAS.html
"Fri, Dec 15, 2023",7:30p,Orlando Magic,111,Boston Celtics,128,TD Garden,/boxscores/202312150BOS.html
"Fri, Dec 15, 2023",7:30p,Los Angeles Lakers,115,San Antonio Spurs,129,Frost Bank Center,/boxscores/202312150SAS.html
"Fri, Dec 15, 2023",7:30p,Atlanta Hawks,125,Toronto Raptors,104,Scotiabank Arena,/boxscores/202312150TOR.html
"Fri, Dec 15, 2023",8:00p,Houston Rockets,103,Memphis Grizzlies,96,FedEx Forum,/boxscores/202312150MEM.html
"Fri, Dec 15, 2023",10:00p,New York Knicks,139,Phoenix Suns,122,Footprint Center,/boxscores/202312150PHO.html
"Sat, Dec 16, 2023",6:00p,Detroit Pistons,114,Milwaukee Bucks,146,Fiserv Forum,/boxscores/202312160MIL.html
"Sat, Dec 16, 2023",7:00p,Philadelphia 76ers,135,Charlotte Hornets,82,Spectrum Center,/boxscores/202312160CHO.html
"Sat, Dec 16, 2023",7:30p,Atlanta Hawks,119,Cleveland Cavaliers,127,Rocket Mortgage Fieldhouse,/boxscores/202312160CLE.html
"Sat, Dec 16, 2023",8:00p,Chicago Bulls,116,Miami Heat,118,Kaseya Center,/boxscores/202312160MIA.html
"Sat, Dec 16, 2023",8:00p,Indiana Pacers,109,Minnesota Timberwolves,127,Target Center,/boxscores/202312160MIN.html
"Sat, Dec 16, 2023",8:30p,Brooklyn Nets,120,Golden State Warriors,124,Chase Center,/boxscores/202312160GSW.html
"Sat, Dec 16, 2023",9:00p,Oklahoma City Thunder,118,Denver Nuggets,117,Ball Arena,/boxscores/202312160DEN.html
"Sat, Dec 16, 2023",9:00p,Dallas Mavericks,131,Portland Trail Blazers,120,Moda Center,/boxscores/202312160POR.html
"Sat, Dec 16, 2023",10:00p,Utah Jazz,104,Sacramento Kings,125,Golden 1 Center,/boxscores/202312160SAC.html
"Sat, Dec 16, 2023",10:30p,New York Knicks,122,Los Angeles Clippers,144,Crypto.com Arena,/boxscores/202312160LAC.html
"Sun, Dec 17, 2023",3:00p,Orlando Magic,97,Boston Celtics,114,TD Garden,/boxscores/202312170BOS.html
"Sun, Dec 17, 2023",3:30p,New Orleans Pelicans,146,San Antonio Spurs,110,Frost Bank Center,/boxscores/202312170SAS.html
"Sun, Dec 17, 2023",7:00p,Houston Rockets,119,Milwaukee Bucks,128,Fiserv Forum,/boxscores/202312170MIL.html
"Sun, Dec 17, 2023",8:00p,Washington Wizards,108,Phoenix Suns,112,Footprint Center,/boxscores/202312170PHO.html
"Sun, Dec 17, 2023",9:00p,Golden State Warriors,118,Portland Trail Blazers,114,Moda Center,/boxscores/202312170POR.html
"Mon, Dec 18, 2023",7:00p,Houston Rockets,130,Cleveland Cavaliers,135,Rocket Mortgage Fieldhouse,/boxscores/202312180CLE.html
"Mon, Dec 18, 2023",7:00p,Los Angeles Clippers,151,Indiana Pacers,127,Gainbridge Fieldhouse,/boxscores/202312180IND.html
"Mon, Dec 18, 2023",7:00p,Chicago Bulls,108,Philadelphia 76ers,104,Wells Fargo Center,/boxscores/202312180PHI.html
"Mon, Dec 18, 2023",7:30p,Detroit Pistons,124,Atlanta Hawks,130,State Farm Arena,/boxscores/202312180ATL.html
"Mon, Dec 18, 2023",7:30p,Minnesota Timberwolves,112,Miami Heat,108,Kaseya Center,/boxscores/202312180MIA.html
"Mon, Dec 18, 2023",7:30p,Charlotte Hornets,99,Toronto Raptors,114,Scotiabank Arena,/boxscores/202312180TOR.html
"Mon, Dec 18, 2023",8:00p,Memphis Grizzlies,97,Oklahoma City Thunder,116,Paycom Center,/boxscores/202312180OKC.html
"Mon, Dec 18, 2023",9:00p,Dallas Mavericks,104,Denver Nuggets,130,Ball Arena,/boxscores/202312180DEN.html
"Mon, Dec 18, 2023",9:00p,Brooklyn Nets,108,Utah Jazz,125,Delta Center,/boxscores/202312180UTA.html
"Mon, Dec 18, 2023",10:00p,Washington Wizards,131,Sacramento Kings,143,Golden 1 Center,/boxscores/202312180SAC.html
"Mon, Dec 18, 2023",10:30p,New York Knicks,114,Los Angeles Lakers,109,Crypto.com Arena,/boxscores/202312180LAL.html
"Tue, Dec 19, 2023",7:30p,Memphis Grizzlies,115,New Orleans Pelicans,113,Smoothie King Center,/boxscores/202312190NOP.html
"Tue, Dec 19, 2023",8:00p,San Antonio Spurs,119,Milwaukee Bucks,132,Fiserv Forum,/boxscores/202312190MIL.html
"Tue, Dec 19, 2023",10:00p,Boston Celtics,126,Golden State Warriors,132,Chase Center,/boxscores/202312190GSW.html
"Tue, Dec 19, 2023",10:00p,Phoenix Suns,104,Portland Trail Blazers,109,Moda Center,/boxscores/202312190POR.html
"Wed, Dec 20, 2023",7:00p,Utah Jazz,116,Cleveland Cavaliers,124,Rocket Mortgage Fieldhouse,/boxscores/202312200CLE.html
"Wed, Dec 20, 2023",7:00p,Charlotte Hornets,113,Indiana Pacers,144,Gainbridge Fieldhouse,/boxscores/202312200IND.html
"Wed, Dec 20, 2023",7:00p,Miami Heat,115,Orlando Magic,106,Kia Center,/boxscores/202312200ORL.html
"Wed, Dec 20, 2023",7:00p,Minnesota Timberwolves,113,Philadelphia 76ers,127,Wells Fargo Center,/boxscores/202312200PHI.html
"Wed, Dec 20, 2023",7:30p,New York Knicks,121,Brooklyn Nets,102,Barclays Center,/boxscores/202312200BRK.html
"Wed, Dec 20, 2023",7:30p,Denver Nuggets,113,Toronto Raptors,104,Scotiabank Arena,/boxscores/202312200TOR.html
"Wed, Dec 20, 2023",8:00p,Los Angeles Lakers,108,Chicago Bulls,124,United Center,/boxscores/202312200CHI.html
"Wed, Dec 20, 2023",8:00p,Atlanta Hawks,134,Houston Rockets,127,Toyota Center,/boxscores/202312200HOU.html
"Wed, Dec 20, 2023",8:30p,Los Angeles Clippers,120,Dallas Mavericks,111,American Airlines Center,/boxscores/202312200DAL.html
"Wed, Dec 20, 2023",10:00p,Boston Celtics,144,Sacramento Kings,119,Golden 1 Center,/boxscores/202312200SAC.html
"Thu, Dec 21, 2023",7:00p,Utah Jazz,119,Detroit Pistons,111,Little Caesars Arena,/boxscores/202312210DET.html
"Thu, Dec 21, 2023",7:30p,New Orleans Pelicans,123,Cleveland Cavaliers,104,Rocket Mortgage Fieldhouse,/boxscores/202312210CLE.html
"Thu, Dec 21, 2023",8:00p,San Antonio Spurs,95,Chicago Bulls,114,United Center,/boxscores/202312210CHI.html
"Thu, Dec 21, 2023",8:00p,Indiana Pacers,103,Memphis Grizzlies,116,FedEx Forum,/boxscores/202312210MEM.html
"Thu, Dec 21, 2023",8:00p,Orlando Magic,114,Milwaukee Bucks,118,Fiserv Forum,/boxscores/202312210MIL.html
"Thu, Dec 21, 2023",8:00p,Los Angeles Clippers,115,Oklahoma City Thunder,134,Paycom Center,/boxscores/202312210OKC.html
"Thu, Dec 21, 2023",9:00p,Los Angeles Lakers,111,Minnesota Timberwolves,118,Target Center,/boxscores/202312210MIN.html
"Thu, Dec 21, 2023",10:00p,Washington Wizards,118,Portland Trail Blazers,117,Moda Center,/boxscores/202312210POR.html
"Fri, Dec 22, 2023",7:00p,Toronto Raptors,111,Philadelphia 76ers,121,Wells Fargo Center,/boxscores/202312220PHI.html
"Fri, Dec 22, 2023",7:30p,Denver Nuggets,122,Brooklyn Nets,117,Barclays Center,/boxscores/202312220BRK.html
"Fri, Dec 22, 2023",8:00p,Dallas Mavericks,96,Houston Rockets,122,Toyota Center,/boxscores/202312220HOU.html
